,x,y,v,d,hour,weekday,x_max,x_min,x_mean,x_std,x_skew,x_sum,x_count,y_max,y_min,y_mean,y_std,y_skew,y_sum,v_max,v_min,v_mean,v_std,v_skew,v_sum,d_max,d_min,d_mean,d_std,d_skew,d_sum,x_max_x_min,y_max_y_min,y_max_x_min,x_max_y_min,slope,area,mode_hour,hour_max,hour_min,hour_nunique,date_nunique,diff_day,diff_second
0,6152038.425152995,5124873.3827915015,2.59,102,11,5,6152038.425152995,6118351.757700083,6119351.235989601,5037.320747120745,5.25555778150568,2533411411.699695,414,5130781.3583146855,5124873.3827915015,5130494.116337763,850.2645413027928,-4.7623077233204425,2124024564.163834,9.39,0.0,0.265966183574879,1.321247634322327,5.520205423876672,110.10999999999991,129,0,4.613526570048309,21.247769531208462,4.483093386278453,1910,33686.667452911846,5907.975523184054,-987570.3993853973,1027165.0423614932,0.17538023110901027,199020006.7694441,15,23,0,24,4,2,85731
1,6076254.189784355,5061742.567340344,3.99,278,11,5,6102449.88089159,6049471.867546982,6091460.392373272,16543.394418868207,-1.0584537560070038,2345212251.0637097,385,5112873.994997388,5042857.339155644,5094050.265983449,26764.042729282846,-0.8024457656888155,1961209352.403628,10.47,0.0,1.607922077922067,2.412688106689784,1.59028380272167,619.0499999999959,336,0,56.153246753246755,91.44938203786961,1.4188669566972625,21619,52978.01334460825,70016.65584174357,-936597.8725495944,1059592.5417359462,1.3216172412186047,3709343327.528734,19,23,0,24,4,2,85187
2,6321031.818333003,5242805.0114616025,4.48,213,11,5,6346913.1838268675,6246118.508992359,6262483.509279168,32280.56714883242,1.62304041907589,2486205953.18383,397,5265809.837113438,5229867.1334727965,5242457.9237263,5975.460236357697,2.198002730502528,2081255795.719341,10.09,0.0,1.3138539042821262,2.4428246832606715,2.145409744049379,521.6000000000041,359,0,108.75818639798489,112.51508076130393,0.7276449153283344,43177,100794.67483450845,35942.703640641645,-980308.6718789209,1117046.050354071,0.35659327935384305,3622833126.1315775,23,23,0,24,4,2,84833
3,6102751.209719494,5112533.660268589,0.0,0,23,1,6151438.594513994,6102325.572282366,6123711.282030592,14451.941953678615,0.02185996011430233,2516845336.914573,411,5112751.59023538,5069615.884477385,5085479.504344611,14020.260116669839,1.0556758328339486,2090132076.2856352,8.69,0.0,2.9658637469586333,1.6470687698482234,-0.21528656087330897,1218.9699999999982,353,0,161.72749391727493,115.40925565578048,-0.020072814878434316,66470,49113.022231627256,43135.705757995136,-989573.982046986,1081822.7100366084,0.8782946721250049,2118524875.8693469,11,23,0,24,3,2,85727
4,6843713.340612565,5480538.047411638,2.0,216,23,1,6844413.671559966,6748889.635784991,6807536.287537992,26263.537564692593,-0.7701897811530592,2566441180.401823,377,5540086.873284401,5440815.38711344,5464763.840017673,30135.64590630512,1.4125437224352677,2060215967.6866624,8.9,0.0,2.0855702917771923,2.6493064640376485,1.1101725195422212,786.2600000000016,358,0,159.14323607427056,101.8326258336729,0.21739711171555023,59997,95524.03577497508,99271.48617096152,-1208802.7625005897,1403598.2844465263,1.0392304446266725,9482812996.429873,0,23,0,24,3,2,85031
5,6246424.330868299,5241152.581763528,0.32,279,11,5,6275263.806087466,6246229.499150546,6253310.652578565,8617.169770675233,1.0871138950355397,2613883852.77784,418,5241921.052389413,5184474.8250205405,5225259.762432627,18805.782327415254,-0.7020688122610601,2184158580.6968384,10.09,0.0,1.8993301435406684,2.3843951178012053,1.4701367917441746,793.9199999999994,359,0,144.11244019138755,114.36180664230345,0.10522374980974963,60239,29034.30693691969,57446.22736887261,-1004308.4467611331,1090788.9810669255,1.9785637554111772,1667911397.7959237,11,23,0,24,4,2,85625
6,6403154.331093538,5383851.466774741,2.7,359,11,5,6443405.436831966,6359136.576938724,6399824.047701521,29969.22919347034,-0.33626188689411646,2598328563.3668175,406,5409630.121700352,5343279.12542173,5387242.9380871765,19622.630014678813,-0.33916863896511007,2187220632.863394,10.09,0.0,2.2189162561576437,1.9881087999345164,1.2336531718017305,900.8800000000034,360,0,148.38916256157634,110.15993437506755,0.1196882507447829,60246,84268.8598932419,66350.99627862219,-949506.4552383721,1100126.3114102362,0.7873726589238373,5591322809.180227,23,23,0,24,4,2,86124
7,7059753.764686605,6104156.038190934,0.0,342,23,1,7060459.144724444,7013210.678463055,7030812.195728487,17434.79342970721,0.3243451629962561,2784201629.508481,396,6104412.118175441,6091780.89212307,6096991.706450939,2711.110998091714,0.8392342668841166,2414408715.754572,10.09,0.0,0.8928535353535385,1.9196247493960379,3.0749827152858002,353.57000000000124,360,0,171.3939393939394,108.02923356642043,0.023722264721547433,67872,47248.466261388734,12631.226052371785,-908798.5602876134,968678.2526013739,0.2673362132538464,596806057.9754627,23,23,0,24,3,2,86237
8,6596108.507523757,6049141.87840213,3.02,30,11,5,6655166.5914994925,6356942.805986417,6485757.614331502,119171.17114931767,0.13881381679056623,2393244559.688324,369,6049141.87840213,5408091.248718519,5590894.849183603,207608.61921558564,0.8016643629913595,2063040199.3487496,10.09,0.0,4.981056910569098,4.016841206978248,-0.1398940282674824,1838.0099999999973,360,0,115.40921409214093,130.23086950255507,0.9004356382434742,42586,298223.78551307507,641050.629683611,-307800.9275842877,1247075.3427809738,2.1495623784022597,191176545489.78693,0,23,0,24,4,2,84928
9,6233508.467376336,5251609.080176959,0.22,0,23,1,6272277.794849151,6233406.501188526,6234547.327557885,5204.52746419847,5.365071840492006,2406535268.4373436,386,5251719.911785912,5214721.547302697,5250716.90264424,4638.847739479294,-5.834974122447365,2026776724.4206767,10.09,0.0,0.5891450777202071,1.9513827384408213,4.15114649193274,227.4099999999999,357,0,106.57512953367876,125.61572324079437,0.6965464604546711,41138,38871.293660624884,36998.364483214915,-981686.5894026142,1057556.247546454,0.951817163746542,1438174290.7898808,23,23,0,24,3,2,85477
