渔船ID,x,y,速度,方向,time,type
4210,6427559.718898333,5420337.689223679,2.7,40,1103 11:51:53,围网
4210,6426866.540004739,5419454.173571185,1.3,20,1103 11:41:50,围网
4210,6426073.669469753,5418570.172916534,2.91,40,1103 11:31:50,围网
4210,6426075.100991549,5418240.34338989,0.92,260,1103 11:21:48,围网
4210,6426968.551306431,5418905.007555368,0.38,119,1103 11:01:45,围网
4210,6427565.112457145,5419128.276816867,2.37,245,1103 10:51:46,围网
4210,6427962.478861304,5419350.440477361,1.67,343,1103 10:41:44,围网
4210,6427866.341706689,5418580.258936082,2.81,355,1103 10:31:44,围网
4210,6427774.616630957,5416820.630832482,3.08,10,1103 10:11:44,围网
4210,6428177.497429236,5415833.474381296,4.37,286,1103 10:01:44,围网
4210,6429273.757572978,5415729.895314495,2.81,258,1103 09:51:42,围网
4210,6429669.17002554,5416391.857388854,2.32,221,1103 09:41:38,围网
4210,6429964.935712994,5417053.2548277145,5.72,238,1103 09:31:39,围网
4210,6430359.754591543,5417825.206513477,2.48,240,1103 09:21:39,围网
4210,6430655.448626057,5418486.647132415,2.48,233,1103 09:11:34,围网
4210,6431149.765198148,5419259.254305448,5.02,257,1103 09:01:35,围网
4210,6431544.964031359,5419921.346657275,2.1,214,1103 08:51:33,围网
4210,6431840.543984834,5420582.855546072,2.59,220,1103 08:41:31,围网
4210,6432235.663267875,5421244.996188205,3.08,205,1103 08:31:32,围网
4210,6432730.30609869,5421907.780440156,2.37,212,1103 08:21:32,围网
4210,6433125.335260489,5422569.9772441955,2.59,220,1103 08:11:31,围网
4210,6433620.420971399,5423122.871309773,2.91,216,1103 08:01:30,围网
4210,6434015.910641004,5423675.165869857,2.59,217,1103 07:51:30,围网
4210,6434610.459896777,5424228.755020438,2.32,212,1103 07:41:45,围网
4210,6435205.513775571,5424672.42774085,2.21,237,1103 07:31:44,围网
4210,6436195.854007633,5425668.547875678,2.0,223,1103 07:11:59,围网
4210,6436790.210418559,5426222.293278698,2.1,231,1103 07:01:57,围网
4210,6437285.562880227,5426665.453061335,5.02,216,1103 06:51:57,围网
4210,6437880.404231864,5427109.311182693,2.21,203,1103 06:41:54,围网
4210,6438176.056578015,5427661.153939763,1.62,209,1103 06:31:56,围网
4210,6438470.508527484,5428432.94936274,1.08,113,1103 06:21:55,围网
4210,6438468.160801112,5428872.826189853,2.37,170,1103 06:11:53,围网
4210,6438962.16407086,5429536.039515328,8.8,251,1103 06:01:53,围网
4210,6441349.666866292,5429662.627121844,5.02,270,1103 05:51:54,围网
4210,6443837.251891345,5429680.545563231,2.7,268,1103 05:41:50,围网
4210,6446126.471657436,5429587.609212397,1.4,310,1103 05:31:49,围网
4210,6448216.711465307,5429493.652337117,0.32,332,1103 05:21:50,围网
4210,6448217.383381661,5429383.681882738,1.08,91,1103 05:11:47,围网
4210,6448017.703712498,5429492.108267581,0.49,140,1103 05:01:47,围网
4210,6447818.027389362,5429600.538950513,1.03,10,1103 04:51:46,围网
4210,6447717.856662766,5429709.741470298,0.81,117,1103 04:41:44,围网
4210,6448115.19430809,5429822.792908251,1.89,241,1103 04:31:47,围网
4210,6448612.024933467,5429936.637006796,1.62,245,1103 04:21:52,围网
4210,6449208.34558312,5430051.2886862075,2.1,249,1103 04:11:45,围网
4210,6449804.654959466,5430165.976428894,2.7,277,1103 04:01:46,围网
4210,6450400.953055433,5430280.700233831,2.48,230,1103 03:51:44,围网
4210,6450997.239863956,5430395.46009999,2.81,245,1103 03:41:43,围网
4210,6452287.858406935,5430845.848249035,2.21,256,1103 03:21:42,围网
4210,6452883.386892906,5431070.696889768,2.32,277,1103 03:11:39,围网
4210,6453377.252700853,5431624.682897895,2.81,197,1103 03:01:37,围网
4210,6453770.150157279,5432397.826194721,2.59,196,1103 02:51:32,围网
