渔船ID,x,y,速度,方向,time,type
2888,6265900.861701146,5279144.104706891,0.11,267,1103 11:59:07,拖网
2888,6265900.861701146,5279144.104706891,0.0,144,1103 11:39:11,拖网
2888,6265900.861701146,5279144.104706891,0.11,0,1103 11:29:08,拖网
2888,6265800.206059178,5279145.157306853,0.0,121,1103 11:19:37,拖网
2888,6265900.861701146,5279144.104706891,0.11,268,1103 11:10:03,拖网
2888,6265900.861701146,5279144.104706891,0.32,103,1103 10:49:20,拖网
2888,6265900.861701146,5279144.104706891,0.22,138,1103 10:39:44,拖网
2888,6265900.861701146,5279144.104706891,0.22,0,1103 10:29:01,拖网
2888,6265900.861701146,5279144.104706891,0.32,0,1103 10:18:59,拖网
2888,6266001.517375125,5279143.053114573,0.32,325,1103 10:09:02,拖网
2888,6265900.861701146,5279144.104706891,0.11,10,1103 09:59:32,拖网
2888,6265900.861701146,5279144.104706891,0.11,0,1103 09:49:04,拖网
2888,6265900.861701146,5279144.104706891,0.0,91,1103 09:38:54,拖网
2888,6265900.861701146,5279144.104706891,0.32,215,1103 09:28:55,拖网
2888,6265900.861701146,5279144.104706891,0.32,195,1103 09:18:57,拖网
2888,6265900.861701146,5279144.104706891,0.32,20,1103 09:08:52,拖网
2888,6265900.861701146,5279144.104706891,0.22,323,1103 08:59:11,拖网
2888,6265900.861701146,5279144.104706891,0.22,222,1103 08:38:50,拖网
2888,6265900.861701146,5279144.104706891,0.32,0,1103 08:28:50,拖网
2888,6265900.861701146,5279144.104706891,0.22,0,1103 08:18:51,拖网
2888,6265900.861701146,5279144.104706891,0.0,0,1103 08:09:02,拖网
2888,6265900.861701146,5279144.104706891,0.0,0,1103 07:58:50,拖网
2888,6265900.861701146,5279144.104706891,0.0,0,1103 07:48:49,拖网
2888,6265900.861701146,5279144.104706891,0.0,0,1103 07:38:46,拖网
2888,6265900.861701146,5279144.104706891,0.11,40,1103 07:28:47,拖网
2888,6265900.861701146,5279144.104706891,0.11,0,1103 07:18:48,拖网
2888,6265900.861701146,5279144.104706891,0.11,272,1103 07:08:45,拖网
2888,6265900.861701146,5279144.104706891,0.11,30,1103 06:58:45,拖网
2888,6265900.861701146,5279144.104706891,0.11,30,1103 06:48:43,拖网
2888,6265900.861701146,5279144.104706891,0.22,221,1103 06:38:44,拖网
2888,6266001.517375125,5279143.053114573,0.22,202,1103 06:28:42,拖网
2888,6266001.517375125,5279143.053114573,0.11,0,1103 06:18:49,拖网
2888,6266001.517375125,5279143.053114573,0.11,248,1103 06:08:40,拖网
2888,6266001.517375125,5279143.053114573,0.32,266,1103 05:58:41,拖网
2888,6265901.722008,5279253.648481982,0.22,322,1103 05:48:38,拖网
2888,6265900.861701146,5279144.104706891,0.11,303,1103 05:38:36,拖网
2888,6265901.722008,5279253.648481982,0.0,91,1103 05:28:38,拖网
2888,6265900.861701146,5279144.104706891,0.11,0,1103 05:18:35,拖网
