渔船ID,x,y,速度,方向,time,type
2334,6033616.647590878,5007061.143751716,4.26,66,1113 23:54:48,拖网
2334,6032479.357484413,5006664.141320115,4.26,82,1113 23:44:49,拖网
2334,6031239.515464053,5006270.672590567,4.48,76,1113 23:34:48,拖网
2334,6029997.1443045065,5005768.811494963,4.26,75,1113 23:24:48,拖网
2334,6028757.184137841,5005375.658302148,4.37,71,1113 23:14:48,拖网
2334,6027517.169265096,5004982.661917371,4.26,75,1113 23:04:48,拖网
2334,6026277.099759578,5004589.822353205,4.37,74,1113 22:54:48,拖网
2334,6025139.48560924,5004193.676799623,4.37,70,1113 22:45:46,拖网
2334,6023796.797143443,5003804.613736924,4.16,68,1113 22:34:48,拖网
2334,6022556.564179451,5003412.244709891,4.48,76,1113 22:24:48,拖网
2334,6021213.761965456,5003023.533649613,4.16,71,1113 22:14:48,拖网
2334,6019975.961708592,5002740.024182177,4.48,79,1113 22:04:48,拖网
2334,6018735.572743795,5002348.136248882,4.59,60,1113 21:54:48,拖网
2334,6017492.569695564,5001847.87578267,3.99,58,1113 21:44:48,拖网
2334,6016349.450656923,5001235.699159137,4.48,39,1113 21:34:49,拖网
2334,6015503.540415619,5000178.892901556,6.15,278,1113 21:24:49,拖网
2334,6015816.270442152,5000385.266324005,1.57,291,1113 21:14:49,拖网
2334,6016431.44384259,5000363.950945328,3.89,272,1113 21:04:49,拖网
2334,6017661.802301456,5000321.431039329,3.99,255,1113 20:54:49,拖网
2334,6018792.193317956,5000391.108230568,4.16,259,1113 20:45:47,拖网
2334,6020125.104828773,5000345.358900987,4.26,282,1113 20:34:49,拖网
2334,6021252.967141368,5000306.783418543,3.89,257,1113 20:24:49,拖网
2334,6022583.390587377,5000152.8294675015,3.67,277,1113 20:14:49,拖网
2334,6023813.826001614,5000111.048596833,4.05,274,1113 20:04:50,拖网
2334,6025044.276645009,5000069.415538752,3.99,256,1113 19:54:50,拖网
2334,6026274.74246359,5000027.93029509,4.05,277,1113 19:44:50,拖网
2334,6027507.709143947,5000095.118940295,4.05,262,1113 19:34:50,拖网
2334,6028843.213714566,5000159.030671848,4.05,252,1113 19:24:50,拖网
2334,6031316.5110766785,5000619.7640299145,4.16,245,1113 19:04:50,拖网
