渔船ID,x,y,速度,方向,time,type
988,6037566.748918682,5013993.903884739,3.35,94,1103 11:50:21,拖网
988,6036337.328933974,5014034.032561723,3.99,109,1103 11:40:21,拖网
988,6035107.923629084,5014074.308927517,3.45,102,1103 11:30:21,拖网
988,6033980.981708137,5014111.358668504,3.99,100,1103 11:20:20,拖网
988,6032756.532249807,5014369.082717872,4.16,113,1103 11:10:21,拖网
988,6031637.049506329,5014732.140600244,4.48,97,1103 11:00:20,拖网
988,6031414.849785045,5013978.861817524,4.37,328,1103 10:51:18,拖网
988,6032746.677542925,5013934.755134553,3.78,267,1103 10:40:21,拖网
988,6034078.522714045,5013890.8217772655,3.89,274,1103 10:30:20,拖网
988,6035307.933652863,5013850.421750321,3.18,261,1103 10:20:20,拖网
988,6036539.795230777,5013918.751596077,3.89,259,1103 10:10:20,拖网
988,6037871.679887023,5013875.311879083,4.16,273,1103 10:00:20,拖网
988,6039101.127100329,5013835.367524651,4.05,264,1103 09:50:20,拖网
988,6040435.452334905,5013900.844660357,4.75,262,1103 09:40:20,拖网
988,6041667.319667838,5013969.792512076,4.26,266,1103 09:30:20,拖网
988,6042999.250505142,5013927.020095993,4.7,261,1103 09:20:20,拖网
988,6044331.198227883,5013884.421018974,4.75,266,1103 09:10:20,拖网
988,6045560.703361264,5013845.252647172,4.16,272,1103 09:00:20,拖网
988,6046683.037900865,5013592.307695385,5.88,274,1103 08:51:18,拖网
988,6047691.18224645,5012799.807675788,3.99,45,1103 08:42:06,拖网
988,6046783.1385953445,5013480.476982499,4.26,97,1103 08:20:21,拖网
988,6045653.684563452,5013407.657160604,2.86,88,1103 08:10:20,拖网
988,6044526.603717281,5013443.545623008,3.08,88,1103 08:00:20,拖网
988,6043499.61023436,5013367.696201401,3.45,87,1103 07:50:21,拖网
988,6042370.151108567,5013295.239546501,3.56,89,1103 07:40:21,拖网
988,6041240.687781225,5013222.907943582,3.89,83,1103 07:30:21,拖网
988,6040113.629588698,5013259.28235852,3.56,69,1103 07:22:31,拖网
988,6037959.581980331,5013220.48860081,3.67,106,1103 07:00:21,拖网
988,6036935.008013452,5013253.879585845,3.89,82,1103 06:51:19,拖网
988,6035703.0914176935,5013185.504650012,3.56,77,1103 06:40:21,拖网
988,6034571.1784372525,5013005.331621434,3.56,87,1103 06:30:21,拖网
988,6033444.160092058,5013042.4404723495,3.45,95,1103 06:20:21,拖网
988,6032314.688610346,5012971.095972944,4.05,76,1103 06:10:21,拖网
988,6031990.051471436,5012221.241943078,4.16,309,1103 06:00:21,拖网
988,6033322.042418539,5012177.210127683,3.99,286,1103 05:50:21,拖网
988,6034654.050749265,5012133.351659208,4.05,279,1103 05:40:21,拖网
988,6035986.076395041,5012089.666539911,4.05,277,1103 05:30:21,拖网
988,6037218.082902848,5012158.071411446,4.37,261,1103 05:20:21,拖网
988,6038554.9710043715,5012331.873320272,4.26,259,1103 05:10:21,拖网
988,6039889.427765525,5012397.273475891,3.45,245,1103 05:00:21,拖网
988,6041016.549386431,5012360.874375616,4.48,237,1103 04:51:19,拖网
988,6042355.794727655,5012643.754309801,4.37,253,1103 04:40:21,拖网
988,6043590.151745595,5012821.509303277,4.26,256,1103 04:30:21,拖网
988,6044822.112841208,5012890.833153457,4.16,255,1103 04:20:21,拖网
988,6046058.802581152,5013177.470812701,3.89,256,1103 04:10:21,拖网
988,6047195.348824308,5013576.087310254,3.08,252,1103 04:01:54,拖网
988,6047104.683192199,5014122.258813986,2.7,103,1103 03:40:22,拖网
988,6046389.840275091,5014253.567855975,4.48,72,1103 03:30:22,拖网
988,6045157.987617088,5014184.049936755,3.99,78,1103 03:20:22,拖网
988,6043923.7488513915,5014006.095124894,4.16,88,1103 03:10:22,拖网
988,6042691.880349175,5013936.875268507,3.89,80,1103 03:00:21,拖网
988,6041562.4645996755,5013864.505681615,3.29,91,1103 02:51:20,拖网
988,6040228.1331698205,5013798.881611314,4.16,86,1103 02:40:23,拖网
988,6038891.380816422,5013624.849589836,4.75,111,1103 02:30:23,拖网
988,6037657.0632220395,5013447.656307232,3.89,74,1103 02:20:23,拖网
988,6036522.745971443,5013158.684996641,3.99,62,1103 02:10:22,拖网
988,6035581.102602257,5012320.240755333,3.78,29,1103 02:00:23,拖网
988,6036183.695999011,5011757.237148309,3.35,258,1103 01:50:23,拖网
988,6037215.653838688,5012049.495676569,3.29,244,1103 01:40:23,拖网
988,6038352.4634130495,5012447.108634948,3.89,266,1103 01:30:23,拖网
