渔船ID,x,y,速度,方向,time
7607,6316368.042383225,5237685.9788537165,3.51,222,1110 11:55:36
7607,6317077.903679373,5238448.122606947,3.72,232,1110 11:45:25
7607,6317788.115385364,5239319.758064008,2.7,220,1110 11:35:23
7607,6318497.814982184,5240082.037957527,3.89,199,1110 11:25:24
7607,6319106.9029602185,5240954.333696347,2.91,201,1110 11:15:21
7607,6319816.858809039,5241826.175390001,2.32,246,1110 11:05:23
7607,6320526.31831014,5242588.653447068,2.0,241,1110 10:55:23
7607,6321336.2322170315,5243241.262891526,4.91,225,1110 10:45:20
7607,6322244.639176563,5243236.829519036,0.59,346,1110 10:35:20
7607,6321534.909457008,5242364.781145757,5.5,20,1110 10:25:20
7607,6320926.440847573,5241601.7351881005,2.0,50,1110 10:15:18
7607,6320216.544253767,5240729.820881939,2.32,50,1110 10:05:16
7607,6319406.014867599,5239967.921536034,1.89,71,1110 09:55:15
7607,6318595.818126777,5239315.529100117,1.19,120,1110 09:45:14
7607,6317684.577287759,5238663.747360494,4.37,71,1110 09:35:13
7607,6317685.435665314,5238882.593938548,0.59,356,1110 09:25:13
7607,6317785.973303038,5238772.63728689,1.08,109,1110 09:15:10
7607,6317685.006468416,5238773.170477074,2.91,61,1110 09:05:14
7607,6316874.658526725,5238120.939068719,3.29,50,1110 08:55:11
7607,6316063.792234446,5237359.366288453,3.72,40,1110 08:45:10
7607,6315253.28520629,5236707.292071698,4.21,50,1110 08:35:12
7607,6314543.68851132,5236054.72977476,2.21,10,1110 08:25:08
7607,6313833.5655369535,5235292.8176031085,2.81,10,1110 08:15:08
7607,6312922.302699982,5234750.953014937,3.89,71,1110 08:05:15
7607,6312111.0224289615,5233989.773044765,2.37,40,1110 07:55:07
7607,6311501.189810882,5233118.076867335,4.1,10,1110 07:45:06
7607,6310891.281127411,5232246.439734794,3.29,30,1110 07:35:12
7607,6309979.213661847,5231595.48917382,3.29,61,1110 07:25:06
7607,6309168.0845932085,5230944.014088669,3.78,50,1110 07:15:02
7607,6308155.32672181,5230403.268906305,3.72,81,1110 07:05:02
7607,6307243.010418431,5229752.6010850435,3.4,71,1110 06:55:02
7607,6306330.6088785175,5229102.028256285,2.32,50,1110 06:45:01
7607,6305316.554005967,5228342.817824388,2.1,50,1110 06:35:00
7607,6304303.457554293,5227802.50093901,4.7,61,1110 06:25:00
7607,6303290.282671365,5227262.294450017,2.59,50,1110 06:14:58
7607,6302277.0294113215,5226722.198373374,4.21,40,1110 06:04:57
7607,6301263.6978282975,5226182.212725039,3.78,81,1110 05:55:04
7607,6299135.734389927,5225103.291659765,3.18,61,1110 05:34:54
7607,6298020.511062927,5224455.000914302,2.0,61,1110 05:24:54
7607,6297412.324462002,5224131.274648625,3.72,20,1110 05:14:52
7607,6296804.10975839,5223807.588164674,1.78,91,1110 05:04:54
7607,6296196.465270578,5223593.314880306,4.8,331,1110 04:54:53
7607,6295587.596089904,5223160.334555686,2.59,71,1110 04:45:35
7607,6294166.345666265,5222077.299229268,0.38,105,1110 04:24:50
7607,6293152.365561723,5221538.2030167235,3.18,61,1110 04:14:50
7607,6291327.0052880775,5220568.108497378,8.31,71,1110 04:04:52
7607,6289198.079770716,5219600.824400811,5.18,61,1110 03:54:49
7607,6287067.522324675,5218415.304429123,6.1,50,1110 03:44:48
7607,6284937.979493277,5217448.981522788,4.37,40,1110 03:34:45
7607,6282908.569174752,5216372.904340452,7.5,61,1110 03:24:44
7607,6280678.020512491,5215517.76826416,6.58,71,1110 03:14:43
7607,6278549.815264857,5214880.908583207,6.69,91,1110 03:04:46
7607,6276422.927335015,5214463.194114977,5.77,71,1110 02:54:44
7607,6272166.423904572,5213301.109146558,7.07,91,1110 02:34:41
7607,6270136.255157737,5212337.070666544,6.31,71,1110 02:24:41
7607,6268407.660920585,5211151.720734886,5.61,50,1110 02:14:40
7607,6266579.268590093,5210186.40850215,7.29,61,1110 02:05:10
7607,6264850.1166270515,5209001.744892099,1.19,81,1110 01:54:40
7607,6262820.558515209,5208257.944984735,7.5,81,1110 01:44:40
7607,6260891.9773633275,5207513.467262846,7.77,71,1110 01:34:39
7607,6258762.594260584,5206990.251866649,7.07,81,1110 01:24:38
7607,6256633.058326512,5206467.493941135,5.99,61,1110 01:14:35
7607,6254805.117021387,5205723.075491642,6.21,50,1110 01:04:37
7607,6253078.190393347,5204977.824032499,6.91,81,1110 00:54:37
7607,6251149.617703442,5204344.589055405,5.5,71,1110 00:44:33
7607,6249324.983592985,5204038.431019628,6.21,71,1110 00:34:32
7607,6247400.043821123,5203843.146697573,7.02,71,1110 00:24:30
7607,6245872.95903167,5202878.094869362,5.88,40,1110 00:14:32
7607,6244547.115323945,5201801.4710873915,6.42,40,1110 00:04:30
7607,6242920.41986098,5201056.781777505,7.07,71,1109 23:54:30
7607,6241095.202103491,5200752.142158581,5.99,61,1109 23:44:45
7607,6237643.849093222,5199813.317258755,5.61,81,1109 23:24:26
7607,6235917.472820682,5199289.713303082,6.31,71,1109 23:14:22
7607,6234192.05582869,5198875.699292752,6.48,71,1109 23:04:23
7607,6232667.939658647,5198349.929095179,1.3,61,1109 22:54:22
7607,6231145.926382517,5198042.963394603,5.88,71,1109 22:44:22
7607,6229623.850991283,5197736.229961282,4.8,71,1109 22:34:22
7607,6228303.088999753,5197317.589189165,5.18,61,1109 22:24:23
7607,6227078.956131242,5196460.572631891,4.48,71,1109 22:14:21
7607,6225856.972643882,5195822.276806725,1.62,10,1109 22:04:21
7607,6224531.300491204,5194967.062126545,3.08,40,1109 21:54:17
7607,6223205.472331195,5194112.044111935,1.08,316,1109 21:44:17
7607,6221679.2852313025,5193478.743362973,4.7,61,1109 21:34:17
7607,6220254.248892552,5192844.176212108,2.7,40,1109 21:24:17
7607,6218627.7173152175,5192322.13373425,4.8,61,1109 21:14:14
7607,6217203.649683587,5191797.2805145485,7.07,71,1109 21:04:16
7607,6215578.1209190525,5191385.005201188,5.07,71,1109 20:54:15
7607,6213951.2643449735,5190863.73967621,6.48,61,1109 20:44:14
7607,6212424.341654267,5190231.9020096185,5.4,61,1109 20:34:13
7607,6210795.984605217,5189601.910946247,8.09,71,1109 20:24:14
7607,6209270.070021682,5189079.82541056,7.18,50,1109 20:14:14
7607,6207642.738343739,5188559.613774148,4.8,71,1109 20:04:23
7607,6205719.166004735,5188700.115829523,7.29,106,1109 19:54:12
7607,6204004.833540712,5189383.885208936,7.18,109,1109 19:44:20
7607,6201881.49576496,5189746.966695867,4.91,105,1109 19:34:10
7607,6199756.932035586,5190001.245240887,7.61,91,1109 19:24:17
7607,6197631.092036905,5190146.719504697,8.2,102,1109 19:14:04
7607,6195506.692283258,5190401.8925973615,5.88,81,1109 19:04:11
7607,6193378.182818873,5190329.757379986,7.88,110,1109 18:54:12
7607,6191149.790601344,5190369.121099844,6.58,91,1109 18:44:12
7607,6188922.860167901,5190518.22652934,7.18,114,1109 18:34:02
7607,6186795.825620429,5190556.7269631,7.5,91,1109 18:24:09
7607,6184674.691595272,5191032.679454854,7.5,109,1109 18:14:07
7607,6182963.278971228,5191829.305613706,6.48,150,1109 18:04:11
7607,6182577.501928185,5193257.177468285,3.72,158,1109 17:54:10
7607,6182477.724542842,5193368.323184535,0.49,40,1109 17:44:27
7607,6182683.225961657,5193583.069851122,2.21,167,1109 17:33:57
7607,6182584.937523398,5193803.476029513,0.22,40,1109 17:24:04
7607,6182684.712338819,5193692.329936946,0.0,250,1109 17:13:52
7607,6182684.712338819,5193692.329936946,0.22,10,1109 17:03:55
7607,6182684.712338819,5193692.329936946,0.22,0,1109 16:53:51
7607,6182684.712338819,5193692.329936946,0.32,0,1109 16:43:49
7607,6182684.712338819,5193692.329936946,0.0,0,1109 16:33:49
7607,6182684.712338819,5193692.329936946,0.32,327,1109 16:23:47
7607,6182684.712338819,5193692.329936946,0.22,0,1109 16:14:00
7607,6182684.712338819,5193692.329936946,0.0,20,1109 15:53:47
7607,6182684.712338819,5193692.329936946,0.0,0,1109 15:43:45
7607,6182684.712338819,5193692.329936946,0.0,0,1109 15:33:46
7607,6182684.712338819,5193692.329936946,0.22,0,1109 15:23:43
7607,6182684.712338819,5193692.329936946,0.0,0,1109 15:13:42
7607,6182684.712338819,5193692.329936946,0.32,0,1109 15:03:42
7607,6182684.712338819,5193692.329936946,0.11,0,1109 14:53:47
7607,6182684.712338819,5193692.329936946,0.32,148,1109 14:43:41
7607,6182684.712338819,5193692.329936946,0.0,0,1109 14:33:39
7607,6182684.712338819,5193692.329936946,0.0,0,1109 14:23:37
7607,6182684.712338819,5193692.329936946,0.22,0,1109 14:13:38
7607,6182684.712338819,5193692.329936946,0.11,205,1109 14:03:35
7607,6182684.712338819,5193692.329936946,0.11,91,1109 13:54:11
7607,6182684.712338819,5193692.329936946,0.11,349,1109 13:43:59
7607,6182684.712338819,5193692.329936946,0.32,0,1109 13:33:40
7607,6182684.712338819,5193692.329936946,0.11,161,1109 13:13:30
7607,6182684.712338819,5193692.329936946,0.0,0,1109 13:03:32
7607,6182684.712338819,5193692.329936946,0.0,325,1109 12:53:29
7607,6182684.712338819,5193692.329936946,0.11,0,1109 12:43:30
