渔船ID,x,y,速度,方向,time
8365,6188928.161238521,5183197.387324497,8.31,315,1113 23:55:03
8365,6190731.07533841,5181526.376323021,7.5,320,1113 23:44:55
8365,6192533.048934538,5179746.551514355,7.29,315,1113 23:34:54
8365,6193320.304024355,5177875.665922168,7.29,334,1113 23:24:53
8365,6194717.552360261,5176103.544357894,7.5,318,1113 23:14:57
8365,6196215.221496237,5174220.759780472,8.31,304,1113 23:04:57
8365,6199004.946711822,5170132.054747488,8.69,331,1113 22:44:51
8365,6200095.432795097,5168038.7166077485,8.58,316,1113 22:34:55
8365,6201184.9503791835,5165836.456442408,8.2,347,1113 22:24:52
8365,6202070.548651038,5163528.676295988,7.5,331,1113 22:14:54
8365,6202853.656891418,5161113.662368023,1.67,293,1113 22:04:51
8365,6203913.076774478,5156292.701818918,8.31,350,1113 21:44:49
8365,6204798.57450811,5153876.701946601,6.58,331,1113 21:34:50
8365,6205501.795033466,5153210.296286985,1.62,167,1113 21:24:47
8365,6205602.077541841,5153099.510655452,1.78,246,1113 21:14:45
8365,6205698.514737569,5152661.341483862,3.89,3,1113 21:04:46
8365,6205785.991469726,5151459.304357275,3.72,345,1113 20:55:00
8365,6205771.904473454,5150258.966442509,3.89,358,1113 20:44:40
8365,6205757.823567165,5149058.673522568,3.4,5,1113 20:34:43
8365,6205338.613655158,5147974.162576194,4.21,30,1113 20:24:40
8365,6204816.4496925725,5146782.261526221,3.02,30,1113 20:14:38
8365,6204295.495858547,5145699.536015721,1.03,61,1113 20:04:40
8365,6203672.842705785,5144618.549092402,2.1,20,1113 19:54:39
8365,6203151.736836122,5143535.956932134,3.72,20,1113 19:44:35
8365,6202428.576322689,5142565.894394739,3.4,20,1113 19:34:39
8365,6201907.314455931,5141483.437150031,4.1,30,1113 19:24:52
8365,6201385.9805580815,5140401.044104848,1.62,20,1113 19:14:55
8365,6200241.425200713,5138238.159656718,3.29,10,1113 18:54:48
8365,6199618.188744114,5137157.679790537,3.72,30,1113 18:44:46
8365,6199097.875999094,5136184.624311473,3.02,61,1113 18:34:48
8365,6198576.17096619,5135102.559453669,3.51,30,1113 18:24:42
8365,6198055.724953971,5134129.621678481,2.81,71,1113 18:14:49
8365,6197535.214094223,5133156.741073283,3.62,30,1113 18:04:48
8365,6197116.352315929,5132182.176473836,1.19,352,1113 17:54:46
8365,6197009.288296637,5131747.696993605,1.08,50,1113 17:44:42
8365,6197215.3942115335,5131962.325154005,0.38,336,1113 17:34:50
8365,6197622.256755923,5131955.3745303005,3.51,254,1113 17:24:56
8365,6199759.615377644,5132028.206764481,0.32,298,1113 17:04:40
8365,6200675.06204506,5132012.81999926,3.08,255,1113 16:55:10
8365,6201697.436807362,5132432.047961233,3.51,240,1113 16:45:00
8365,6202619.3387154285,5132962.129401946,3.51,248,1113 16:35:03
8365,6203640.307861701,5133272.50544807,3.72,265,1113 16:24:37
8365,6204662.515343723,5133692.049853475,3.29,248,1113 16:14:47
8365,6205685.938251273,5134220.767516298,3.89,234,1113 16:04:44
8365,6206608.855422524,5134860.3096042015,3.78,239,1113 15:54:36
8365,6207632.130167021,5135389.244025971,3.72,252,1113 15:44:43
8365,6208654.082587717,5135809.2201450085,3.89,254,1113 15:34:39
8365,6209678.463358305,5136447.4502754165,3.99,210,1113 15:24:41
8365,6210098.854160243,5137640.824672073,3.4,195,1113 15:14:42
8365,6210315.840302041,5138837.4769648425,3.51,184,1113 15:04:43
8365,6210431.135461276,5140035.786173898,2.1,148,1113 14:54:41
8365,6210444.765357457,5141235.7487922115,3.51,185,1113 14:44:35
8365,6210458.401171386,5142435.7567379335,4.59,180,1113 14:34:36
8365,6210473.283353341,5143744.907958839,4.59,177,1113 14:24:31
8365,6210589.799067658,5145052.5067003835,2.81,172,1113 14:14:29
8365,6210603.445061979,5146252.658712065,3.89,194,1113 14:04:29
8365,6210618.338343716,5147561.966935381,6.1,174,1113 13:54:27
8365,6210925.642044732,5147775.378288651,1.3,186,1113 13:44:29
8365,6211030.964350341,5148101.114183215,2.21,20,1113 13:34:28
8365,6211346.905867972,5149078.348528127,5.07,212,1113 13:24:26
8365,6211563.689443335,5150275.459019314,3.18,173,1113 13:14:26
8365,6211577.28327491,5151475.808920037,2.81,7,1113 13:04:25
8365,6211589.646402638,5152567.0751098525,3.72,190,1113 12:54:21
8365,6211907.94364641,5153762.728385552,1.08,211,1113 12:44:22
8365,6212021.849596208,5154852.480874423,2.81,166,1113 12:34:18
8365,6211372.8846736085,5151369.878239201,3.51,4,1113 11:04:15
8365,6211360.511139233,5150278.653162407,1.89,348,1113 10:54:14
8365,6211449.739466564,5149185.867566997,4.32,10,1113 10:44:15
8365,6211437.383526227,5148094.7167701265,3.72,359,1113 10:34:13
8365,6211322.184087467,5146896.091884201,3.99,5,1113 10:24:10
8365,6211513.073301188,5145801.824320831,3.51,340,1113 10:14:46
8365,6211804.3977628965,5144596.901996875,3.51,329,1113 10:04:12
8365,6211789.633420511,5143287.712951313,6.91,0,1113 09:54:40
8365,6211695.379787172,5143943.894973524,0.0,345,1113 09:44:34
8365,6211793.323851419,5143615.0051661935,0.11,168,1113 09:34:22
8365,6211728.190505467,5137833.338918781,4.91,360,1113 09:24:48
8365,6211728.190505467,5137833.338918781,4.91,10,1113 08:44:14
8365,6211510.085755843,5136527.619880033,1.67,7,1113 08:33:55
