渔船ID,x,y,速度,方向,time
8271,6232697.321901885,5211358.692087497,0.11,292,1113 23:53:48
8271,6232696.22169435,5211249.365472424,0.22,0,1113 23:43:48
8271,6232697.321901885,5211358.692087497,0.0,81,1113 23:33:41
8271,6232697.321901885,5211358.692087497,0.11,0,1113 23:23:42
8271,6232697.321901885,5211358.692087497,0.11,142,1113 23:13:43
8271,6232697.321901885,5211358.692087497,0.0,154,1113 23:03:49
8271,6232798.472936419,5211357.30810375,0.22,118,1113 22:53:50
8271,6232798.472936419,5211357.30810375,0.22,0,1113 22:43:41
8271,6232798.472936419,5211357.30810375,0.0,329,1113 22:33:46
8271,6232697.321901885,5211358.692087497,0.0,341,1113 22:23:40
8271,6232697.321901885,5211358.692087497,0.32,0,1113 22:13:38
8271,6232698.422151548,5211468.019055815,0.32,119,1113 22:03:41
8271,6232698.422151548,5211468.019055815,0.32,156,1113 21:53:53
8271,6232799.57238137,5211466.635083078,0.22,61,1113 21:43:47
8271,6232800.671868417,5211575.962415622,0.11,164,1113 21:33:33
8271,6232800.671868417,5211575.962415622,0.11,175,1113 21:23:35
8271,6232800.671868417,5211575.962415622,0.11,0,1113 21:13:35
8271,6232800.671868417,5211575.962415622,0.22,10,1113 21:03:37
8271,6232901.821335592,5211574.579466482,0.11,288,1113 20:53:33
8271,6233001.872967274,5211463.870175391,0.32,40,1113 20:43:37
8271,6232901.821335592,5211574.579466482,0.11,40,1113 20:33:47
8271,6232901.821335592,5211574.579466482,0.32,328,1113 20:23:39
8271,6233002.970844836,5211573.19752993,0.22,115,1113 20:13:38
8271,6232901.821335592,5211574.579466482,0.22,332,1113 20:03:38
8271,6232901.821335592,5211574.579466482,0.22,127,1113 19:53:24
8271,6232901.821335592,5211574.579466482,0.11,350,1113 19:43:27
8271,6232901.821335592,5211574.579466482,0.0,305,1113 19:33:24
8271,6232901.821335592,5211574.579466482,0.11,0,1113 19:23:27
8271,6232901.821335592,5211574.579466482,0.11,143,1113 19:13:53
8271,6232901.821335592,5211574.579466482,0.11,0,1113 19:03:21
8271,6232901.821335592,5211574.579466482,0.22,0,1113 18:53:21
8271,6233002.970844836,5211573.19752993,0.11,145,1113 18:43:23
8271,6233002.970844836,5211573.19752993,0.0,148,1113 18:33:20
8271,6233002.970844836,5211573.19752993,0.11,138,1113 18:23:20
8271,6233001.872967274,5211463.870175391,0.11,156,1113 18:13:17
8271,6233001.872967274,5211463.870175391,0.0,326,1113 18:03:19
8271,6233001.872967274,5211463.870175391,0.11,0,1113 17:53:21
8271,6233001.872967274,5211463.870175391,0.11,296,1113 17:43:19
8271,6233001.872967274,5211463.870175391,0.22,293,1113 17:33:18
8271,6233002.970844836,5211573.19752993,0.0,116,1113 17:23:20
8271,6232800.671868417,5211575.962415622,0.32,194,1113 17:13:26
8271,6232699.522443337,5211577.346377347,0.11,245,1113 17:03:28
8271,6232698.422151548,5211468.019055815,0.0,235,1113 16:53:13
8271,6232698.422151548,5211468.019055815,0.32,246,1113 16:43:09
8271,6232698.422151548,5211468.019055815,0.11,216,1113 16:33:12
8271,6232697.321901885,5211358.692087497,0.11,0,1113 16:23:13
8271,6232697.321901885,5211358.692087497,0.32,357,1113 16:13:11
8271,6232697.321901885,5211358.692087497,0.22,0,1113 16:03:07
8271,6232697.321901885,5211358.692087497,0.22,0,1113 15:53:10
8271,6232697.321901885,5211358.692087497,0.0,208,1113 15:43:05
8271,6232697.321901885,5211358.692087497,0.11,137,1113 15:33:05
8271,6232697.321901885,5211358.692087497,0.22,0,1113 15:23:09
8271,6232697.321901885,5211358.692087497,0.22,163,1113 15:13:14
8271,6232697.321901885,5211358.692087497,0.32,0,1113 15:03:13
8271,6232697.321901885,5211358.692087497,0.11,0,1113 14:53:08
8271,6232798.472936419,5211357.30810375,0.0,145,1113 14:43:11
8271,6232798.472936419,5211357.30810375,0.0,0,1113 14:33:01
8271,6232798.472936419,5211357.30810375,0.0,152,1113 14:23:50
8271,6232697.321901885,5211358.692087497,0.22,10,1113 14:03:46
8271,6232697.321901885,5211358.692087497,0.0,10,1113 13:53:27
8271,6232697.321901885,5211358.692087497,0.11,165,1113 13:32:56
8271,6232697.321901885,5211358.692087497,0.0,159,1113 13:22:56
8271,6232697.321901885,5211358.692087497,0.0,117,1113 13:13:00
8271,6232697.321901885,5211358.692087497,0.11,276,1113 13:02:59
8271,6232697.321901885,5211358.692087497,0.32,0,1113 12:52:56
8271,6232697.321901885,5211358.692087497,0.32,71,1113 12:42:56
8271,6232697.321901885,5211358.692087497,0.32,169,1113 12:32:55
8271,6232697.321901885,5211358.692087497,0.22,0,1113 12:22:53
8271,6232697.321901885,5211358.692087497,0.32,0,1113 11:02:45
8271,6232697.321901885,5211358.692087497,0.32,175,1113 10:52:50
8271,6232697.321901885,5211358.692087497,0.49,0,1113 10:42:47
8271,6232697.321901885,5211358.692087497,0.22,165,1113 10:32:47
8271,6232697.321901885,5211358.692087497,0.22,0,1113 10:22:46
8271,6232698.422151548,5211468.019055815,0.7,50,1113 10:12:47
8271,6232799.57238137,5211466.635083078,0.32,0,1113 10:02:40
8271,6232800.671868417,5211575.962415622,1.4,158,1113 09:52:40
8271,6232901.821335592,5211574.579466482,0.81,190,1113 09:42:40
8271,6232900.722653287,5211465.252122937,0.38,20,1113 09:32:39
8271,6232900.722653287,5211465.252122937,0.32,91,1113 09:23:03
8271,6232698.422151548,5211468.019055815,0.81,71,1113 09:12:37
8271,6230374.216199777,5211718.7843891885,9.01,198,1113 09:02:56
8271,6228875.107233005,5213489.298503768,0.0,130,1113 08:52:35
8271,6228573.973317818,5213712.238102611,0.22,0,1113 08:42:38
8271,6228675.105694693,5213710.8128407635,0.11,358,1113 08:33:13
8271,6228675.105694693,5213710.8128407635,0.22,0,1113 08:22:31
8271,6228675.105694693,5213710.8128407635,0.11,0,1113 08:12:31
8271,6228675.105694693,5213710.8128407635,0.22,274,1113 08:02:44
8271,6228675.105694693,5213710.8128407635,0.22,274,1113 08:02:43
8271,6228675.105694693,5213710.8128407635,0.32,280,1113 07:42:30
