渔船ID,x,y,速度,方向,time
8036,6432346.4218612835,5459746.902985931,1.78,262,1110 11:51:58
8036,6432644.222955193,5459748.749927656,0.38,8,1110 11:41:58
8036,6434337.89360123,5458548.8590179235,7.88,308,1110 11:31:58
8036,6434736.681703023,5458221.265828892,2.37,114,1110 11:21:58
8036,6433947.43566702,5457225.795035255,8.09,29,1110 11:11:57
8036,6433157.514378047,5456340.450239567,2.16,79,1110 11:01:58
8036,6433058.766185722,5456229.787817061,1.89,351,1110 10:52:55
8036,6432862.896419322,5455678.348139505,2.0,26,1110 10:41:57
8036,6432467.32042997,5455345.762610645,1.67,51,1110 10:31:57
8036,6432171.565419019,5454903.76992552,1.35,50,1110 10:21:57
8036,6431875.788992875,5454461.790523279,1.46,54,1110 10:11:58
8036,6431778.08228315,5454131.0744975265,1.78,324,1110 10:01:57
8036,6431581.055789738,5453799.75495571,1.35,45,1110 09:51:57
8036,6431582.120348971,5453579.6866219565,1.35,335,1110 09:41:58
8036,6431385.079544006,5453248.375163201,1.35,36,1110 09:31:57
8036,6430892.167703322,5452475.1401766585,6.96,14,1110 09:21:57
8036,6429807.85167875,5450708.141618423,6.37,27,1110 09:11:57
8036,6428622.858047803,5449160.801063608,6.69,54,1110 09:01:57
8036,6428423.147628687,5449379.69554874,2.48,202,1110 08:52:55
8036,6428718.665359989,5449931.545149236,2.48,208,1110 08:41:58
8036,6429014.156347494,5450483.41056271,2.59,212,1110 08:33:31
8036,6429605.572541132,5451477.159990527,2.05,214,1110 08:11:58
8036,6429900.985957367,5452029.071425952,2.97,216,1110 08:01:58
8036,6430295.696815115,5452581.591783703,1.78,213,1110 07:51:58
8036,6430690.896368609,5453024.10215898,2.05,209,1110 07:41:58
8036,6430986.223316932,5453576.065486002,2.16,213,1110 07:31:59
8036,6431381.365866868,5454018.613427347,2.0,219,1110 07:21:59
8036,6431776.479903461,5454461.181575142,2.0,221,1110 07:11:59
8036,6432171.027689756,5455013.807271463,2.0,220,1110 07:01:59
8036,6432566.622405833,5455346.37847461,1.78,235,1110 06:52:57
8036,6432961.1059927065,5455899.046752385,2.86,215,1110 06:41:59
8036,6433356.102330373,5456341.696780213,1.89,226,1110 06:31:59
8036,6433751.070115227,5456784.366994457,2.75,217,1110 06:21:59
8036,6434146.5649116365,5457117.014580666,1.46,215,1110 06:11:59
8036,6434541.479139225,5457559.72406524,1.67,237,1110 06:01:59
8036,6435035.645328953,5458003.094306253,1.78,224,1110 05:52:00
8036,6435331.788131557,5458335.157753757,1.89,223,1110 05:41:59
8036,6435727.190009615,5458667.880049894,0.86,163,1110 05:31:59
8036,6435227.986559686,5459214.888460538,0.59,288,1110 05:21:59
8036,6435335.751470665,5457564.8449176615,7.45,0,1110 05:11:59
8036,6435544.537831823,5455585.393471791,6.48,4,1110 05:01:59
8036,6435155.2335159285,5454042.302071912,6.15,13,1110 04:52:57
8036,6435265.833990014,5451842.304715643,3.67,354,1110 04:41:59
8036,6435259.061804826,5453162.675370319,7.45,176,1110 04:31:59
8036,6435247.76856555,5455363.382567778,7.77,177,1110 04:21:59
8036,6435235.336960179,5457784.28933475,8.26,174,1110 04:11:59
8036,6435222.330155366,5460315.381271026,8.15,188,1110 04:01:58
8036,6435110.070976472,5462845.977637213,8.36,185,1110 03:51:59
8036,6435196.285499526,5465378.004984535,8.26,188,1110 03:41:59
8036,6435183.247652696,5467909.535945964,8.47,176,1110 03:32:00
8036,6435170.199462727,5470441.2124332655,8.09,174,1110 03:22:00
8036,6435057.979540547,5472972.392240655,7.66,169,1110 03:12:00
8036,6435053.442042897,5473853.059829382,3.56,87,1110 03:03:33
8036,6434856.829689175,5473521.5268721385,0.16,0,1110 02:42:00
8036,6434955.9867297625,5473522.166656272,0.76,70,1110 02:32:00
8036,6434955.9867297625,5473522.166656272,0.76,273,1110 02:22:00
8036,6434955.9867297625,5473522.166656272,0.16,0,1110 02:12:00
8036,6434955.420391291,5473632.250520716,0.76,150,1110 02:02:00
8036,6434955.420391291,5473632.250520716,0.65,252,1110 01:51:59
8036,6435054.57653439,5473632.891291817,1.08,242,1110 01:42:00
8036,6435054.57653439,5473632.891291817,0.38,313,1110 01:32:00
8036,6435054.57653439,5473632.891291817,0.38,55,1110 01:22:01
8036,6435054.57653439,5473632.891291817,0.16,298,1110 01:12:00
8036,6435054.57653439,5473632.891291817,0.49,215,1110 01:02:00
8036,6435054.57653439,5473632.891291817,0.97,17,1110 00:52:58
8036,6435054.57653439,5473632.891291817,0.65,231,1110 00:42:00
8036,6435054.57653439,5473632.891291817,0.16,0,1110 00:32:00
8036,6435054.57653439,5473632.891291817,0.65,247,1110 00:22:01
8036,6435054.57653439,5473632.891291817,0.49,28,1110 00:12:01
8036,6435054.57653439,5473632.891291817,0.49,315,1110 00:02:01
8036,6435054.57653439,5473632.891291817,0.65,259,1109 23:52:01
8036,6435054.57653439,5473632.891291817,0.59,182,1109 23:42:01
8036,6435054.57653439,5473632.891291817,0.86,284,1109 23:32:01
8036,6434955.420391291,5473632.250520716,0.27,0,1109 23:22:01
8036,6434955.420391291,5473632.250520716,0.38,39,1109 23:13:31
8036,6434955.9867297625,5473522.166656272,0.27,21,1109 22:52:58
8036,6434955.9867297625,5473522.166656272,0.38,112,1109 22:42:00
8036,6434955.9867297625,5473522.166656272,0.76,276,1109 22:32:00
8036,6434955.9867297625,5473522.166656272,0.38,280,1109 22:22:00
8036,6434955.9867297625,5473522.166656272,0.27,86,1109 22:12:00
8036,6434955.9867297625,5473522.166656272,0.97,64,1109 22:02:00
8036,6434856.829689175,5473521.5268721385,0.97,313,1109 21:52:00
8036,6434856.829689175,5473521.5268721385,0.76,52,1109 21:42:00
8036,6434856.264228713,5473631.610742248,0.16,0,1109 21:31:59
8036,6434856.264228713,5473631.610742248,0.59,0,1109 21:22:00
8036,6434757.108046679,5473630.971956413,0.59,126,1109 21:12:00
8036,6434757.108046679,5473630.971956413,0.38,2,1109 21:02:00
8036,6434757.108046679,5473630.971956413,0.16,171,1109 20:52:58
8036,6434757.108046679,5473630.971956413,0.27,55,1109 20:42:01
8036,6434757.108046679,5473630.971956413,0.27,26,1109 20:32:00
8036,6434757.108046679,5473630.971956413,0.27,331,1109 20:22:00
8036,6434757.108046679,5473630.971956413,0.27,234,1109 20:12:01
8036,6434757.108046679,5473630.971956413,0.16,0,1109 20:02:00
8036,6434757.108046679,5473630.971956413,0.59,335,1109 19:52:00
8036,6434757.108046679,5473630.971956413,0.59,6,1109 19:42:00
8036,6434757.108046679,5473630.971956413,0.16,0,1109 19:32:00
8036,6434757.108046679,5473630.971956413,0.16,0,1109 19:22:01
8036,6434757.108046679,5473630.971956413,0.49,135,1109 19:12:01
8036,6434757.108046679,5473630.971956413,0.38,72,1109 19:02:01
8036,6434757.108046679,5473630.971956413,0.38,177,1109 18:52:59
8036,6434757.108046679,5473630.971956413,0.27,0,1109 18:42:01
